
===== block_0 =====
c,freq_fgconv_scalar,freq_fgconv_grad,gate_fgconv,gate_fgconv_grad,z_fgconv_energy,z_fgconv_grad_energy,pure_gated_fgconv_energy,pure_gated_fgconv_grad_energy,y_fgconv_energy,y_fgconv_grad_energy
63,0.959598,0.000253,0.644342,-0.000692,1.604279,0.000005,1.033704,0.000006,1.342638,0.000006
64,0.453873,0.002646,0.491217,-0.006379,1.784778,0.000011,0.876713,0.000016,1.220405,0.000016
65,0.475971,0.001918,0.134682,0.008152,1.928937,0.000004,0.259793,0.000013,0.631246,0.000013
66,0.467357,-0.000829,0.839120,0.001471,2.086227,0.000007,1.750595,0.000007,2.152337,0.000007
67,0.445675,-0.001619,0.266516,0.000166,1.876322,0.000006,0.500070,0.000012,0.861391,0.000012
68,0.656111,0.001186,0.178404,-0.003427,2.420600,0.000009,0.431846,0.000024,0.897977,0.000024
69,0.705021,-0.000610,0.971128,0.000687,2.065817,0.000006,2.006174,0.000005,2.403985,0.000005
70,0.615077,-0.001480,0.985638,-0.002908,1.637901,0.000008,1.614378,0.000007,1.929786,0.000007
71,0.457325,-0.000386,0.952195,-0.001562,2.356708,0.000007,2.244046,0.000006,2.697874,0.000006
72,0.523472,-0.000940,0.929462,0.000828,1.973851,0.000009,1.834619,0.000008,2.214721,0.000008
73,0.762233,0.000737,0.472335,-0.005060,2.188392,0.000007,1.033655,0.000011,1.455071,0.000011
74,0.742252,-0.000175,0.733900,0.008426,1.447438,0.000009,1.062274,0.000010,1.341005,0.000010
75,0.663763,-0.001538,0.830274,-0.003926,2.050348,0.000011,1.702350,0.000011,2.097183,0.000011
76,0.455291,0.001003,0.236934,0.015611,2.888226,0.000007,0.684319,0.000017,1.240501,0.000017
77,0.803730,0.000915,0.371395,0.007216,2.015094,0.000009,0.748396,0.000016,1.136440,0.000016
78,0.568991,-0.000059,0.163712,-0.004623,1.934027,0.000006,0.316623,0.000018,0.689056,0.000018
79,0.464962,0.003819,0.633626,0.000077,1.528092,0.000012,0.968238,0.000014,1.262501,0.000014
80,0.808719,0.001897,0.999307,-0.004711,1.976690,0.000009,1.975321,0.000007,2.355969,0.000007
81,0.444344,-0.000048,0.983247,0.001375,1.728610,0.000008,1.699650,0.000007,2.032526,0.000007
82,0.696668,-0.003029,0.700849,0.000441,2.134337,0.000009,1.495849,0.000010,1.906855,0.000010
83,0.488863,-0.000546,0.923537,0.011291,1.570405,0.000012,1.450326,0.000011,1.752737,0.000011
84,0.570587,0.000873,0.607391,0.000833,2.209030,0.000010,1.341746,0.000012,1.767136,0.000012
85,0.634478,0.002587,0.535093,0.000223,2.322416,0.000006,1.242709,0.000009,1.689934,0.000009
86,0.622847,-0.001230,0.301604,0.000768,1.525157,0.000009,0.459993,0.000018,0.753690,0.000018
